calculation_id,application_id,calculation_name,input_fields,formula_version,result,units,calculated_at,policy_context,expected_interpretation
APP-000001-CALC-01,APP-000001,gross_monthly_income,income.annual_amount,v1.0.0,8325.00,USD_PER_MONTH,2026-08-12,POL-INC-001,"Gross eligible earnings before tax, before policy adjustment."
APP-000001-CALC-02,APP-000001,qualifying_monthly_income,income.qualifying_monthly_amount,v1.0.0,8325.00,USD_PER_MONTH,2026-08-12,POL-INC-001,The income figure the affordability rules are permitted to use.
APP-000001-CALC-03,APP-000001,housing_expense_pitia,loans.principal_and_interest|properties.annual_property_tax|properties.annual_hazard_premium|properties.monthly_hoa|loans.monthly_mortgage_insurance,v1.0.0,2414.29,USD_PER_MONTH,2026-08-12,POL-DTI-001,Full qualifying housing expense; the reserve denominator.
APP-000001-CALC-04,APP-000001,total_monthly_debt,underwriting_calculations.housing_expense_pitia|liabilities.monthly_payment,v1.0.0,2664.00,USD_PER_MONTH,2026-08-12,POL-LIA-001,DTI numerator.
APP-000001-CALC-05,APP-000001,front_end_dti,underwriting_calculations.housing_expense_pitia|underwriting_calculations.qualifying_monthly_income,v1.0.0,0.2900,RATIO,2026-08-12,POL-DTI-001,Housing ratio; advisory except on the USDA overlay.
APP-000001-CALC-06,APP-000001,back_end_dti,underwriting_calculations.total_monthly_debt|underwriting_calculations.qualifying_monthly_income,v1.0.0,0.3200,RATIO,2026-08-12,POL-DTI-001,Principal affordability measure (AC-02).
APP-000001-CALC-07,APP-000001,residual_income_monthly,underwriting_calculations.qualifying_monthly_income|underwriting_calculations.total_monthly_debt,v1.0.0,5661.00,USD_PER_MONTH,2026-08-12,POL-DTI-001,Disposable income (AC-02 alternative measure).
APP-000001-CALC-08,APP-000001,ltv,loans.base_loan_amount|properties.value_used_for_ltv,v1.0.0,0.8000,RATIO,2026-08-12,POL-CONV-001,Leverage against the value the rule uses.
APP-000001-CALC-09,APP-000001,cltv,loans.base_loan_amount|properties.value_used_for_ltv,v1.0.0,0.8000,RATIO,2026-08-12,POL-CONV-001,Leverage including every subordinate lien.
APP-000001-CALC-10,APP-000001,hcltv,loans.base_loan_amount|properties.value_used_for_ltv,v1.0.0,0.8000,RATIO,2026-08-12,POL-CONV-001,Leverage counting HELOC credit lines in full.
APP-000001-CALC-11,APP-000001,down_payment_amount,properties.purchase_price|loans.base_loan_amount,v1.0.0,80000.00,USD,2026-08-12,POL-AST-002,Borrower equity contribution at purchase.
APP-000001-CALC-12,APP-000001,down_payment_pct,underwriting_calculations.down_payment_amount|properties.purchase_price,v1.0.0,0.2000,RATIO,2026-08-12,POL-AST-002,Contribution as a share of price.
APP-000001-CALC-13,APP-000001,cash_to_close,underwriting_calculations.down_payment_amount|loans.closing_costs|loans.prepaids_and_escrow|loans.seller_credits|loans.earnest_money_paid,v1.0.0,75687.85,USD,2026-08-12,POL-AST-002,Borrower funds required at settlement.
APP-000001-CALC-14,APP-000001,funds_to_close_available,assets.eligible_close_amount,v1.0.0,95002.17,USD,2026-08-12,POL-AST-001,Eligible assets available at settlement.
APP-000001-CALC-15,APP-000001,funds_shortfall,underwriting_calculations.cash_to_close|underwriting_calculations.funds_to_close_available,v1.0.0,0.00,USD,2026-08-12,POL-AST-002,Positive value means the file cannot close as structured.
APP-000001-CALC-16,APP-000001,post_close_reserves,assets.eligible_reserve_amount|underwriting_calculations.cash_to_close,v1.0.0,24142.90,USD,2026-08-12,POL-AST-003,Reserve-eligible assets surviving the settlement draw.
APP-000001-CALC-17,APP-000001,months_reserves,underwriting_calculations.post_close_reserves|underwriting_calculations.housing_expense_pitia,v1.0.0,10.00,MONTHS,2026-08-12,POL-AST-003,Reserves expressed in months of housing expense.
APP-000001-CALC-18,APP-000001,credit_utilization,credit_accounts.balance|credit_accounts.credit_limit,v1.0.0,0.2800,RATIO,2026-08-12,POL-CRD-003,Risk context only; never a policy breach on its own.
APP-000001-CALC-19,APP-000001,employment_tenure_months,employment.verified_start_date|applications.application_date,v1.0.0,54,MONTHS,2026-08-12,POL-EMP-002,"Computed from the verified start date, not the declared one."
APP-000001-CALC-20,APP-000001,payment_shock_pct,underwriting_calculations.housing_expense_pitia|applications.current_housing_payment,v1.0.0,0.0526,RATIO,2026-08-12,POL-DTI-001,Not applicable where there is no prior housing payment.
APP-000001-CALC-21,APP-000001,loan_to_income,loans.base_loan_amount|underwriting_calculations.qualifying_annual_income,v1.0.0,3.20,MULTIPLE,2026-08-12,POL-DTI-001,"Supplemental analytical measure, not an eligibility rule."
APP-000001-CALC-22,APP-000001,representative_credit_score,credit_profiles.score_1|credit_profiles.score_2|credit_profiles.score_3,v1.0.0,742,SCORE,2026-08-12,POL-CRD-001,Middle of three per borrower; lowest across borrowers.
APP-000002-CALC-01,APP-000002,gross_monthly_income,income.annual_amount,v1.0.0,9466.67,USD_PER_MONTH,2026-08-12,POL-INC-001,"Gross eligible earnings before tax, before policy adjustment."
APP-000002-CALC-02,APP-000002,qualifying_monthly_income,income.qualifying_monthly_amount,v1.0.0,9466.67,USD_PER_MONTH,2026-08-12,POL-INC-001,The income figure the affordability rules are permitted to use.
APP-000002-CALC-03,APP-000002,housing_expense_pitia,loans.principal_and_interest|properties.annual_property_tax|properties.annual_hazard_premium|properties.monthly_hoa|loans.monthly_mortgage_insurance,v1.0.0,2935.89,USD_PER_MONTH,2026-08-12,POL-DTI-001,Full qualifying housing expense; the reserve denominator.
APP-000002-CALC-04,APP-000002,total_monthly_debt,underwriting_calculations.housing_expense_pitia|liabilities.monthly_payment,v1.0.0,3976.00,USD_PER_MONTH,2026-08-12,POL-LIA-001,DTI numerator.
APP-000002-CALC-05,APP-000002,front_end_dti,underwriting_calculations.housing_expense_pitia|underwriting_calculations.qualifying_monthly_income,v1.0.0,0.3101,RATIO,2026-08-12,POL-DTI-001,Housing ratio; advisory except on the USDA overlay.
APP-000002-CALC-06,APP-000002,back_end_dti,underwriting_calculations.total_monthly_debt|underwriting_calculations.qualifying_monthly_income,v1.0.0,0.4200,RATIO,2026-08-12,POL-DTI-001,Principal affordability measure (AC-02).
APP-000002-CALC-07,APP-000002,residual_income_monthly,underwriting_calculations.qualifying_monthly_income|underwriting_calculations.total_monthly_debt,v1.0.0,5490.67,USD_PER_MONTH,2026-08-12,POL-DTI-001,Disposable income (AC-02 alternative measure).
APP-000002-CALC-08,APP-000002,ltv,loans.base_loan_amount|properties.value_used_for_ltv,v1.0.0,0.8000,RATIO,2026-08-12,POL-CONV-001,Leverage against the value the rule uses.
