rule_id,policy_id,policy_version,policy_effective_date,policy_expiration_date,title,source_category,severity,outcome_type,requires_human_review,parameters,has_research_reference,cross_refs
GEN-ELG-001,POL-GEN-001,1.0,2026-01-01,,Order of evaluation,COMMON_INDUSTRY_PRACTICE,ADVISORY,PROCESS,false,,true,POL-UWR-001|POL-DEC-001
GEN-ELG-002,POL-GEN-001,1.0,2026-01-01,,Applicable policy version is selected by as-of date,SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,PASS_FAIL,false,"selection_basis=underwriting_as_of_date; fallback_when_before_first_version=earliest published version, flagged",true,POL-DOC-001
GEN-ELG-003,POL-GEN-001,1.0,2026-01-01,,Loan amount must be within the programme's applicable limit,AGENCY_INVESTOR,HARD_FAIL,PASS_FAIL,false,conforming_baseline_one_unit_2026=832750; high_cost_ceiling_one_unit_2026=1249125; fha_floor_one_unit_2026=541287,true,POL-CONV-001|POL-JUMBO-001
GEN-ELG-004,POL-GEN-001,1.0,2026-01-01,,"Eligibility, risk, recommendation and credit decision are distinct",SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,PROCESS,false,"eligibility_values=ELIGIBLE, INELIGIBLE, INDETERMINATE; recommendation_values=APPROVE_RECOMMENDATION, APPROVE_WITH_CONDITIONS, REFER, MANUAL_REVIEW_REQUIRED, SUSPENDED_INCOMPLETE, DECLINE_RECOMMENDATION; human_only_values=CLEAR_TO_CLOSE, credit decision, funding decision",true,POL-DEC-001|POL-UWR-001
GEN-ELG-005,POL-GEN-001,1.0,2026-01-01,,"Missing evidence yields INDETERMINATE, not a negative result",SYNTHETIC_INTERNAL_POLICY,CONDITIONAL,PASS_REFER_FAIL,false,"outcomes=PASS, FAIL, REFER, NOT_APPLICABLE, INDETERMINATE",true,POL-DOC-001|POL-UWR-001
GEN-ELG-006,POL-GEN-001,1.0,2026-01-01,,Ability to repay must be established from verified information,REGULATORY,HARD_FAIL,PASS_FAIL,false,,true,POL-DTI-001
CONV-PUR-001,POL-CONV-001,1.0,2026-01-01,,Eligible transaction characteristics,SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,PASS_FAIL,false,"unit_count_min=1; unit_count_max=4; term_months_min=120; term_months_max=360; lien_position=1; amortisation=fully amortising, fixed rate",false,POL-PRP-001|POL-PRP-002
CONV-PUR-002,POL-CONV-001,1.0,2026-01-01,,Maximum leverage by occupancy,SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,PASS_FAIL,false,max_ltv_primary_residence=0.97; max_ltv_second_home=0.9; max_ltv_investment=0.85; max_cltv_primary_residence=1.02; max_cltv_second_home=0.9; max_cltv_investment=0.85,true,POL-VAL-001|POL-AST-002
CONV-PUR-003,POL-CONV-001,1.0,2026-01-01,,Mortgage insurance is required above 80 percent leverage,SYNTHETIC_INTERNAL_POLICY,CONDITIONAL,PASS_FAIL,false,mi_required_above_ltv=0.8; annual_factor_ltv_80_to_85=0.0032; annual_factor_ltv_85_to_90=0.0052; annual_factor_ltv_90_to_95=0.0078; annual_factor_ltv_above_95=0.0094,false,POL-DTI-001
CONV-PUR-004,POL-CONV-001,1.0,2026-01-01,,Minimum borrower contribution,SYNTHETIC_INTERNAL_POLICY,CONDITIONAL,PASS_FAIL,false,min_own_funds_pct_primary_residence=0.0; min_own_funds_pct_second_home=0.05; min_own_funds_pct_investment=0.05,true,POL-AST-004
CONV-PUR-005,POL-CONV-001,1.0,2026-01-01,,Interested-party contributions are limited,SYNTHETIC_INTERNAL_POLICY,CONDITIONAL,PASS_FAIL,false,max_ipc_pct_ltv_above_90=0.03; max_ipc_pct_ltv_75_to_90=0.06; max_ipc_pct_ltv_at_or_below_75=0.09; excess_treatment=reduce sales price and recompute LTV,false,POL-AST-002
CONV-RTR-001,POL-CONV-002,1.0,2026-01-01,,Cash returned to the borrower is capped,SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,PASS_FAIL,false,max_incidental_cash_pct_of_loan=0.01; max_incidental_cash_amount=2000; reclassification_target=POL-CONV-003,false,POL-CONV-003
CONV-RTR-002,POL-CONV-002,1.0,2026-01-01,,Maximum leverage on a rate and term refinance,SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,PASS_FAIL,false,max_ltv_primary_residence=0.95; max_ltv_second_home=0.9; max_ltv_investment=0.75; max_cltv_primary_residence=0.95,true,POL-VAL-001
CONV-RTR-003,POL-CONV-002,1.0,2026-01-01,,Existing mortgage payment history,SYNTHETIC_INTERNAL_POLICY,REFER,PASS_REFER_FAIL,true,lookback_months=12; lates_30d_refer_at=1; lates_30d_fail_at=2,false,POL-CRD-003
CONV-RTR-004,POL-CONV-002,1.0,2026-01-01,,Payoff figure must be evidenced,COMMON_INDUSTRY_PRACTICE,CONDITIONAL,PASS_FAIL,false,,false,POL-AST-002|POL-DOC-001
CONV-COR-001,POL-CONV-003,1.0,2026-01-01,,Ownership seasoning,SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,PASS_FAIL,false,min_ownership_months=6; min_months_since_prior_cash_out=12,false,POL-TTL-001
CONV-COR-002,POL-CONV-003,1.0,2026-01-01,,Maximum leverage on a cash-out refinance,SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,PASS_FAIL,false,max_ltv_primary_residence=0.8; max_ltv_second_home=0.75; max_ltv_investment=0.7; max_cltv_primary_residence=0.8,false,POL-VAL-001
CONV-COR-003,POL-CONV-003,1.0,2026-01-01,,Elevated credit floor,SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,PASS_FAIL,false,min_representative_score=680; min_representative_score_ltv_above_75=700; ltv_trigger=0.75,false,POL-CRD-001
CONV-COR-004,POL-CONV-003,1.0,2026-01-01,,Reserve requirement,SYNTHETIC_INTERNAL_POLICY,CONDITIONAL,PASS_FAIL,false,min_months_reserves=6; proceeds_countable_as_reserves=False,false,POL-AST-003
CONV-COR-005,POL-CONV-003,1.0,2026-01-01,,Stated use of proceeds,COMMON_INDUSTRY_PRACTICE,ADVISORY,PROCESS,false,,false,POL-FRD-001
JMB-ELG-001,POL-JUMBO-001,1.0,2026-01-01,2026-07-01,Definition of a jumbo transaction,SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,PASS_FAIL,false,trigger=loan amount above the applicable conforming limit,true,POL-GEN-001|POL-CONV-001
JMB-ELG-004,POL-JUMBO-001,1.0,2026-01-01,2026-07-01,Every jumbo file is reviewed by a human underwriter,SYNTHETIC_INTERNAL_POLICY,REFER,PROCESS,true,human_review=mandatory; reason_code=HR-JUMBO-EXPOSURE,true,POL-UWR-001
JMB-ELG-002,POL-JUMBO-001,1.0,2026-01-01,2026-07-01,Leverage and credit floor,SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,PASS_FAIL,false,max_ltv_primary_residence=0.8; max_ltv_other_occupancy=0.75; min_representative_score=700,false,
JMB-ELG-003,POL-JUMBO-001,1.0,2026-01-01,2026-07-01,Reserve and documentation requirement,SYNTHETIC_INTERNAL_POLICY,CONDITIONAL,PASS_FAIL,false,min_months_reserves=6; documentation_level=full,false,POL-AST-003|POL-DOC-001
JMB-ELG-001,POL-JUMBO-001,2.0,2026-07-01,,Definition of a jumbo transaction,SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,PASS_FAIL,false,trigger=loan amount above the applicable conforming limit,true,POL-GEN-001|POL-CONV-001
JMB-ELG-004,POL-JUMBO-001,2.0,2026-07-01,,Every jumbo file is reviewed by a human underwriter,SYNTHETIC_INTERNAL_POLICY,REFER,PROCESS,true,human_review=mandatory; reason_code=HR-JUMBO-EXPOSURE,true,POL-UWR-001
JMB-ELG-002,POL-JUMBO-001,2.0,2026-07-01,,Leverage and credit floor,SYNTHETIC_INTERNAL_POLICY,HARD_FAIL,PASS_FAIL,false,max_ltv_primary_residence=0.75; max_ltv_other_occupancy=0.7; min_representative_score=720,false,
