policy_document_id,policy_id,version,title,family,effective_date,expiration_date,source_category,priority,supersedes,superseded_by,requires_human_review,jurisdiction,product_scope,occupancy_scope,purpose_scope,rule_count,relative_path,document_hash
POL-GEN-001-v1.0,POL-GEN-001,1.0,General Mortgage Eligibility and Programme Framework,general-eligibility,2026-01-01,,SYNTHETIC_INTERNAL_POLICY,10,,,false,US,conventional_conforming|jumbo|fha|va|usda,primary_residence|second_home|investment,purchase|rate_term_refinance|cash_out_refinance,6,synthetic_data/policy_corpus/POL-GEN-001_general-eligibility_v1.0.md,ae7c65e5cdd87dbc
POL-CONV-001-v1.0,POL-CONV-001,1.0,Conventional Conforming Purchase Eligibility,conventional-purchase,2026-01-01,,SYNTHETIC_INTERNAL_POLICY,30,,,false,US,conventional_conforming,primary_residence|second_home|investment,purchase,5,synthetic_data/policy_corpus/POL-CONV-001_conventional-purchase_v1.0.md,4f245a08a6de68d8
POL-CONV-002-v1.0,POL-CONV-002,1.0,Conventional Rate and Term Refinance Eligibility,conventional-rate-term-refinance,2026-01-01,,SYNTHETIC_INTERNAL_POLICY,30,,,false,US,conventional_conforming,primary_residence|second_home|investment,rate_term_refinance,4,synthetic_data/policy_corpus/POL-CONV-002_conventional-rate-term-refinance_v1.0.md,f621a8e9f3f8a10a
POL-CONV-003-v1.0,POL-CONV-003,1.0,Cash-Out Refinance Eligibility,cash-out-refinance,2026-01-01,,SYNTHETIC_INTERNAL_POLICY,30,,,false,US,conventional_conforming,primary_residence|second_home|investment,cash_out_refinance,5,synthetic_data/policy_corpus/POL-CONV-003_cash-out-refinance_v1.0.md,c0024d402d9a4b90
POL-JUMBO-001-v1.0,POL-JUMBO-001,1.0,Jumbo and High-Value Mortgage Overlay,jumbo-overlay,2026-01-01,2026-07-01,SYNTHETIC_INTERNAL_POLICY,25,,POL-JUMBO-001 v2.0,true,US,jumbo,primary_residence|second_home|investment,purchase|rate_term_refinance|cash_out_refinance,4,synthetic_data/policy_corpus/POL-JUMBO-001_jumbo-overlay_v1.0.md,8818288a8b6eeba6
POL-JUMBO-001-v2.0,POL-JUMBO-001,2.0,Jumbo and High-Value Mortgage Overlay,jumbo-overlay,2026-07-01,,SYNTHETIC_INTERNAL_POLICY,25,POL-JUMBO-001 v1.0,,true,US,jumbo,primary_residence|second_home|investment,purchase|rate_term_refinance|cash_out_refinance,5,synthetic_data/policy_corpus/POL-JUMBO-001_jumbo-overlay_v2.0.md,5e0886b460059920
POL-FHA-001-v1.0,POL-FHA-001,1.0,FHA-Style Programme Overlay,fha-overlay,2026-01-01,,SYNTHETIC_INTERNAL_POLICY,28,,,false,US,fha,primary_residence|second_home|investment,purchase|rate_term_refinance|cash_out_refinance,4,synthetic_data/policy_corpus/POL-FHA-001_fha-overlay_v1.0.md,2852bab6b03a4aa6
POL-VA-001-v1.0,POL-VA-001,1.0,VA-Style Programme Overlay,va-overlay,2026-01-01,,SYNTHETIC_INTERNAL_POLICY,28,,,false,US,va,primary_residence|second_home|investment,purchase|rate_term_refinance|cash_out_refinance,4,synthetic_data/policy_corpus/POL-VA-001_va-overlay_v1.0.md,6466a98310ee5628
POL-USDA-001-v1.0,POL-USDA-001,1.0,USDA-Style Rural Programme Overlay,usda-overlay,2026-01-01,,SYNTHETIC_INTERNAL_POLICY,28,,,false,US,usda,primary_residence,purchase|rate_term_refinance,4,synthetic_data/policy_corpus/POL-USDA-001_usda-overlay_v1.0.md,de6df20c5bd2c72c
POL-CRD-001-v1.0,POL-CRD-001,1.0,Credit Assessment and Representative Score,credit-assessment,2026-01-01,2026-07-01,SYNTHETIC_INTERNAL_POLICY,40,,POL-CRD-001 v2.0,false,US,conventional_conforming|jumbo|fha|va|usda,primary_residence|second_home|investment,purchase|rate_term_refinance|cash_out_refinance,6,synthetic_data/policy_corpus/POL-CRD-001_credit-assessment_v1.0.md,770b19b5776656ed
POL-CRD-001-v2.0,POL-CRD-001,2.0,Credit Assessment and Representative Score,credit-assessment,2026-07-01,,SYNTHETIC_INTERNAL_POLICY,40,POL-CRD-001 v1.0,,false,US,conventional_conforming|jumbo|fha|va|usda,primary_residence|second_home|investment,purchase|rate_term_refinance|cash_out_refinance,7,synthetic_data/policy_corpus/POL-CRD-001_credit-assessment_v2.0.md,a908292dff915409
POL-CRD-002-v1.0,POL-CRD-002,1.0,Significant Derogatory Credit Events and Seasoning,credit-events,2026-01-01,,SYNTHETIC_INTERNAL_POLICY,42,,,false,US,conventional_conforming|jumbo|fha|va|usda,primary_residence|second_home|investment,purchase|rate_term_refinance|cash_out_refinance,4,synthetic_data/policy_corpus/POL-CRD-002_credit-events_v1.0.md,692f7d2d42f1afc0
