policy_document_id,policy_id,version,title,family,effective_date,expiration_date,source_category,priority,supersedes,superseded_by,requires_human_review,jurisdiction,product_scope,occupancy_scope,purpose_scope,rule_count,relative_path,document_hash
POL-GEN-001-v1.0,POL-GEN-001,1.0,General Mortgage Eligibility and Programme Framework,general-eligibility,2026-01-01,,SYNTHETIC_INTERNAL_POLICY,10,,,false,US,conventional_conforming|jumbo|fha|va|usda,primary_residence|second_home|investment,purchase|rate_term_refinance|cash_out_refinance,6,synthetic_data/mortgage/policy_corpus/POL-GEN-001_general-eligibility_v1.0.md,5c43ab2d664943c0
POL-CONV-001-v1.0,POL-CONV-001,1.0,Conventional Conforming Purchase Eligibility,conventional-purchase,2026-01-01,,SYNTHETIC_INTERNAL_POLICY,30,,,false,US,conventional_conforming,primary_residence|second_home|investment,purchase,5,synthetic_data/mortgage/policy_corpus/POL-CONV-001_conventional-purchase_v1.0.md,f68f751e14e55a23
POL-CONV-002-v1.0,POL-CONV-002,1.0,Conventional Rate and Term Refinance Eligibility,conventional-rate-term-refinance,2026-01-01,,SYNTHETIC_INTERNAL_POLICY,30,,,false,US,conventional_conforming,primary_residence|second_home|investment,rate_term_refinance,4,synthetic_data/mortgage/policy_corpus/POL-CONV-002_conventional-rate-term-refinance_v1.0.md,1c86454c63d4b0d0
POL-CONV-003-v1.0,POL-CONV-003,1.0,Cash-Out Refinance Eligibility,cash-out-refinance,2026-01-01,,SYNTHETIC_INTERNAL_POLICY,30,,,false,US,conventional_conforming,primary_residence|second_home|investment,cash_out_refinance,5,synthetic_data/mortgage/policy_corpus/POL-CONV-003_cash-out-refinance_v1.0.md,c0024d402d9a4b90
POL-JUMBO-001-v1.0,POL-JUMBO-001,1.0,Jumbo and High-Value Mortgage Overlay,jumbo-overlay,2026-01-01,2026-07-01,SYNTHETIC_INTERNAL_POLICY,25,,POL-JUMBO-001 v2.0,true,US,jumbo,primary_residence|second_home|investment,purchase|rate_term_refinance|cash_out_refinance,4,synthetic_data/mortgage/policy_corpus/POL-JUMBO-001_jumbo-overlay_v1.0.md,c818c835b9a5529f
POL-JUMBO-001-v2.0,POL-JUMBO-001,2.0,Jumbo and High-Value Mortgage Overlay,jumbo-overlay,2026-07-01,,SYNTHETIC_INTERNAL_POLICY,25,POL-JUMBO-001 v1.0,,true,US,jumbo,primary_residence|second_home|investment,purchase|rate_term_refinance|cash_out_refinance,5,synthetic_data/mortgage/policy_corpus/POL-JUMBO-001_jumbo-overlay_v2.0.md,8a04f8fdb33d6a29
POL-FHA-001-v1.0,POL-FHA-001,1.0,FHA-Style Programme Overlay,fha-overlay,2026-01-01,,SYNTHETIC_INTERNAL_POLICY,28,,,false,US,fha,primary_residence|second_home|investment,purchase|rate_term_refinance|cash_out_refinance,4,synthetic_data/mortgage/policy_corpus/POL-FHA-001_fha-overlay_v1.0.md,ac28c7048676df1a
POL-VA-001-v1.0,POL-VA-001,1.0,VA-Style Programme Overlay,va-overlay,2026-01-01,,SYNTHETIC_INTERNAL_POLICY,28,,,false,US,va,primary_residence|second_home|investment,purchase|rate_term_refinance|cash_out_refinance,4,synthetic_data/mortgage/policy_corpus/POL-VA-001_va-overlay_v1.0.md,03d41a7d4626ee9a
POL-USDA-001-v1.0,POL-USDA-001,1.0,USDA-Style Rural Programme Overlay,usda-overlay,2026-01-01,,SYNTHETIC_INTERNAL_POLICY,28,,,false,US,usda,primary_residence,purchase|rate_term_refinance,4,synthetic_data/mortgage/policy_corpus/POL-USDA-001_usda-overlay_v1.0.md,2bef25e077f3a575
POL-CRD-001-v1.0,POL-CRD-001,1.0,Credit Assessment and Representative Score,credit-assessment,2026-01-01,2026-07-01,SYNTHETIC_INTERNAL_POLICY,40,,POL-CRD-001 v2.0,false,US,conventional_conforming|jumbo|fha|va|usda,primary_residence|second_home|investment,purchase|rate_term_refinance|cash_out_refinance,6,synthetic_data/mortgage/policy_corpus/POL-CRD-001_credit-assessment_v1.0.md,e4ebc50149ef9dd9
POL-CRD-001-v2.0,POL-CRD-001,2.0,Credit Assessment and Representative Score,credit-assessment,2026-07-01,,SYNTHETIC_INTERNAL_POLICY,40,POL-CRD-001 v1.0,,false,US,conventional_conforming|jumbo|fha|va|usda,primary_residence|second_home|investment,purchase|rate_term_refinance|cash_out_refinance,7,synthetic_data/mortgage/policy_corpus/POL-CRD-001_credit-assessment_v2.0.md,413faf15e24506f3
POL-CRD-002-v1.0,POL-CRD-002,1.0,Significant Derogatory Credit Events and Seasoning,credit-events,2026-01-01,,SYNTHETIC_INTERNAL_POLICY,42,,,false,US,conventional_conforming|jumbo|fha|va|usda,primary_residence|second_home|investment,purchase|rate_term_refinance|cash_out_refinance,4,synthetic_data/mortgage/policy_corpus/POL-CRD-002_credit-events_v1.0.md,161654f3b10cc133
POL-CRD-003-v1.0,POL-CRD-003,1.0,Delinquency and Payment History Treatment,delinquency-treatment,2026-01-01,,SYNTHETIC_INTERNAL_POLICY,43,,,false,US,conventional_conforming|jumbo|fha|va|usda,primary_residence|second_home|investment,purchase|rate_term_refinance|cash_out_refinance,4,synthetic_data/mortgage/policy_corpus/POL-CRD-003_delinquency-treatment_v1.0.md,33d910013967bfe6
POL-LIA-001-v1.0,POL-LIA-001,1.0,Liabilities and Debt Inclusion,liabilities,2026-01-01,,SYNTHETIC_INTERNAL_POLICY,45,,,false,US,conventional_conforming|jumbo|fha|va|usda,primary_residence|second_home|investment,purchase|rate_term_refinance|cash_out_refinance,6,synthetic_data/mortgage/policy_corpus/POL-LIA-001_liabilities_v1.0.md,0525c2dce35bc356
POL-DTI-001-v1.0,POL-DTI-001,1.0,"Affordability, Debt-to-Income and Disposable Income",affordability-dti,2026-01-01,2026-07-01,SYNTHETIC_INTERNAL_POLICY,50,,POL-DTI-001 v2.0,false,US,conventional_conforming|jumbo|fha|va|usda,primary_residence|second_home|investment,purchase|rate_term_refinance|cash_out_refinance,7,synthetic_data/mortgage/policy_corpus/POL-DTI-001_affordability-dti_v1.0.md,cb276750d559672b
POL-DTI-001-v2.0,POL-DTI-001,2.0,"Affordability, Debt-to-Income and Disposable Income",affordability-dti,2026-07-01,,SYNTHETIC_INTERNAL_POLICY,50,POL-DTI-001 v1.0,,false,US,conventional_conforming|jumbo|fha|va|usda,primary_residence|second_home|investment,purchase|rate_term_refinance|cash_out_refinance,8,synthetic_data/mortgage/policy_corpus/POL-DTI-001_affordability-dti_v2.0.md,53b1e0430dd3f02f
POL-INC-001-v1.0,POL-INC-001,1.0,Income General Principles and Qualifying Income,income-general,2026-01-01,,SYNTHETIC_INTERNAL_POLICY,48,,,false,US,conventional_conforming|jumbo|fha|va|usda,primary_residence|second_home|investment,purchase|rate_term_refinance|cash_out_refinance,6,synthetic_data/mortgage/policy_corpus/POL-INC-001_income-general_v1.0.md,3319100c9ab9aee9
POL-INC-002-v1.0,POL-INC-002,1.0,Salaried Income Qualification,income-salaried,2026-01-01,,SYNTHETIC_INTERNAL_POLICY,49,,,false,US,conventional_conforming|jumbo|fha|va|usda,primary_residence|second_home|investment,purchase|rate_term_refinance|cash_out_refinance,4,synthetic_data/mortgage/policy_corpus/POL-INC-002_income-salaried_v1.0.md,351c5cbea83aa700
POL-INC-003-v1.0,POL-INC-003,1.0,Hourly and Variable-Hour Income,income-hourly,2026-01-01,,SYNTHETIC_INTERNAL_POLICY,49,,,false,US,conventional_conforming|jumbo|fha|va|usda,primary_residence|second_home|investment,purchase|rate_term_refinance|cash_out_refinance,4,synthetic_data/mortgage/policy_corpus/POL-INC-003_income-hourly_v1.0.md,f24334ea4d08c129
POL-INC-004-v1.0,POL-INC-004,1.0,"Bonus, Overtime, Commission and Tip Income",income-variable,2026-01-01,2026-07-01,SYNTHETIC_INTERNAL_POLICY,49,,POL-INC-004 v2.0,false,US,conventional_conforming|jumbo|fha|va|usda,primary_residence|second_home|investment,purchase|rate_term_refinance|cash_out_refinance,4,synthetic_data/mortgage/policy_corpus/POL-INC-004_income-variable_v1.0.md,8f2253fb030e768c
POL-INC-004-v2.0,POL-INC-004,2.0,"Bonus, Overtime, Commission and Tip Income",income-variable,2026-07-01,,SYNTHETIC_INTERNAL_POLICY,49,POL-INC-004 v1.0,,false,US,conventional_conforming|jumbo|fha|va|usda,primary_residence|second_home|investment,purchase|rate_term_refinance|cash_out_refinance,5,synthetic_data/mortgage/policy_corpus/POL-INC-004_income-variable_v2.0.md,41fb409e9e02e0fb
POL-INC-005-v1.0,POL-INC-005,1.0,Self-Employment Income,income-self-employed,2026-01-01,,SYNTHETIC_INTERNAL_POLICY,49,,,true,US,conventional_conforming|jumbo|fha|va|usda,primary_residence|second_home|investment,purchase|rate_term_refinance|cash_out_refinance,6,synthetic_data/mortgage/policy_corpus/POL-INC-005_income-self-employed_v1.0.md,d03a1bdd4afe5c3d
POL-INC-006-v1.0,POL-INC-006,1.0,Rental Income,income-rental,2026-01-01,,SYNTHETIC_INTERNAL_POLICY,49,,,false,US,conventional_conforming|jumbo|fha|va|usda,primary_residence|second_home|investment,purchase|rate_term_refinance|cash_out_refinance,4,synthetic_data/mortgage/policy_corpus/POL-INC-006_income-rental_v1.0.md,f6d31c3d575f1cd6
