decision_reason_id,decision_id,application_id,reason_code,reason_text,rule_id,policy_id,policy_version,evidence_reference
APP-000002-RSN-01,APP-000002-DEC-01,APP-000002,RSN-UWRHRV001,"Affordability result 42.00% is within 2.00% of its 43.00% limit, which is a mandatory human-review trigger.",UWR-HRV-001,POL-UWR-001,1.0,underwriting_calculations.back_end_dti
APP-000002-RSN-02,APP-000002-DEC-01,APP-000002,RSN-UWRHRV001,1 mandatory human-review trigger(s) present.,UWR-HRV-001,POL-UWR-001,1.0,rule_evaluations
APP-000003-RSN-01,APP-000003-DEC-01,APP-000003,RSN-CRDSCR003,Representative score 598 against the applicable floor of 620. The credit floor is not met.,CRD-SCR-003,POL-CRD-001,2.0,credit_profiles.representative_score
APP-000004-RSN-01,APP-000004-DEC-01,APP-000004,RSN-DTICONV001,Back-end debt-to-income 49.00% against the applicable limit of 43.00%. The extension to 45.00% was not available: 1 documented compensating factor(s) against the 2 required. The affordability limit is breached.,DTI-CONV-001,POL-DTI-001,2.0,underwriting_calculations.total_monthly_debt|underwriting_calculations.qualifying_monthly_income|underwriting_calculations.back_end_dti
APP-000006-RSN-01,APP-000006-DEC-01,APP-000006,RSN-ASTFTC003,"Eligible funds available 59,350.80 against 82,431.66 required at settlement; a shortfall of 23,080.86. This is a deterministic arithmetic failure that no compensating factor cures.",AST-FTC-003,POL-AST-002,1.0,underwriting_calculations.funds_to_close_required|underwriting_calculations.funds_to_close_available
APP-000007-RSN-01,APP-000007-DEC-01,APP-000007,RSN-DTICONV001,Back-end debt-to-income 44.00% against the applicable limit of 43.00%. The extension to 45.00% was not available: 0 documented compensating factor(s) against the 2 required. The affordability limit is breached.,DTI-CONV-001,POL-DTI-001,2.0,underwriting_calculations.total_monthly_debt|underwriting_calculations.qualifying_monthly_income|underwriting_calculations.back_end_dti
APP-000007-RSN-02,APP-000007-DEC-01,APP-000007,RSN-ASTRSV002,"Post-closing reserves of 0.50 months against the 4-month requirement for this occupancy, leverage and affordability profile.",AST-RSV-002,POL-AST-003,2.0,underwriting_calculations.post_close_reserves|underwriting_calculations.months_reserves
APP-000008-RSN-01,APP-000008-DEC-01,APP-000008,RSN-EMPCNT001,"Combined employment history of 16 months is below the 24-month requirement; the file is reviewed rather than failed, because a shorter history with strong continuity can still support the income.",EMP-CNT-001,POL-EMP-002,1.0,employment.start_date
APP-000008-RSN-02,APP-000008-DEC-01,APP-000008,RSN-UWRHRV001,1 mandatory human-review trigger(s) present.,UWR-HRV-001,POL-UWR-001,1.0,rule_evaluations
APP-000009-RSN-01,APP-000009-DEC-01,APP-000009,RSN-EMPCNT002,"Recent change of employer involved a change of field or compensation structure, so the prior history no longer predicts the new earnings; underwriter review required.",EMP-CNT-002,POL-EMP-002,1.0,employment.start_date|employment.occupation
