human_review_id,application_id,queue,trigger_rule_ids,reason_code,reason_text,reviewer_role,status,opened_date
APP-000002-HRV,APP-000002,UNDERWRITING,UWR-HRV-001,HR-POLICY-TRIGGER,"UWR-HRV-001: Affordability result 42.00% is within 2.00% of its 43.00% limit, which is a mandatory human-review trigger.",underwriter,OPEN,2026-08-12
APP-000003-HRV,APP-000003,CREDIT_DECISION,DECLINE_RECOMMENDATION,HR-DECLINE-RECOMMENDATION,DECLINE_RECOMMENDATION is never auto-decided (DEC-REC-002).,credit_underwriter_authorised_decision_maker,OPEN,2026-08-12
APP-000004-HRV,APP-000004,CREDIT_DECISION,DECLINE_RECOMMENDATION,HR-DECLINE-RECOMMENDATION,DECLINE_RECOMMENDATION is never auto-decided (DEC-REC-002).,credit_underwriter_authorised_decision_maker,OPEN,2026-08-12
APP-000006-HRV,APP-000006,CREDIT_DECISION,DECLINE_RECOMMENDATION,HR-DECLINE-RECOMMENDATION,DECLINE_RECOMMENDATION is never auto-decided (DEC-REC-002).,credit_underwriter_authorised_decision_maker,OPEN,2026-08-12
APP-000007-HRV,APP-000007,CREDIT_DECISION,DECLINE_RECOMMENDATION,HR-DECLINE-RECOMMENDATION,DECLINE_RECOMMENDATION is never auto-decided (DEC-REC-002).,credit_underwriter_authorised_decision_maker,OPEN,2026-08-12
APP-000008-HRV,APP-000008,UNDERWRITING,EMP-CNT-001|UWR-HRV-001,HR-POLICY-TRIGGER,"EMP-CNT-001: Combined employment history of 16 months is below the 24-month requirement; the file is reviewed rather than failed, because a shorter history with strong continuity can still support the income.",underwriter,OPEN,2026-08-12
APP-000009-HRV,APP-000009,UNDERWRITING,EMP-CNT-002|UWR-HRV-001,HR-POLICY-TRIGGER,"EMP-CNT-002: Recent change of employer involved a change of field or compensation structure, so the prior history no longer predicts the new earnings; underwriter review required.",underwriter,OPEN,2026-08-12
APP-000011-HRV,APP-000011,UNDERWRITING,INC-SEB-006|UWR-HRV-001,HR-SELF-EMPLOYED-COMPLEXITY,INC-SEB-006: Self-employment income requires human underwriting review before a recommendation is issued; cash-flow and add-back judgement is outside what an automated component may settle.,underwriter,OPEN,2026-08-12
APP-000012-HRV,APP-000012,UNDERWRITING,INC-VAR-001|UWR-HRV-001,HR-POLICY-TRIGGER,INC-VAR-001: Variable earnings history of 14 months is below the 24-month standard but meets the 12-month allowance with 3 documented positive factors; a haircut applies and the file is reviewed.,underwriter,OPEN,2026-09-04
APP-000014-HRV,APP-000014,CREDIT_DECISION,DECLINE_RECOMMENDATION,HR-DECLINE-RECOMMENDATION,DECLINE_RECOMMENDATION is never auto-decided (DEC-REC-002).,credit_underwriter_authorised_decision_maker,OPEN,2026-08-12
APP-000016-HRV,APP-000016,UNDERWRITING,EMP-CNT-004|UWR-HRV-001,HR-POLICY-TRIGGER,"EMP-CNT-004: Employment begins in 61 days against the 90-day window; a non-contingent offer and reserves covering the gap period are required, and the file is reviewed in every case.",underwriter,OPEN,2026-08-12
APP-000017-HRV,APP-000017,HIGH_VALUE_UNDERWRITING,JMB-ELG-004|UWR-HRV-001,HR-JUMBO-EXPOSURE,JMB-ELG-004: Jumbo exposure: every file under this overlay is reviewed by a human underwriter because real jumbo criteria are set by private investor overlays that are not publicly documented.,senior_underwriter,OPEN,2026-08-12
APP-000018-HRV,APP-000018,HIGH_VALUE_UNDERWRITING,JMB-ELG-004|UWR-HRV-001,HR-JUMBO-EXPOSURE,JMB-ELG-004: Jumbo exposure: every file under this overlay is reviewed by a human underwriter because real jumbo criteria are set by private investor overlays that are not publicly documented.,senior_underwriter,OPEN,2026-09-04
